Date,Clicks,Impressions,CTR,Position
2026-03-08,0,0,,
2026-03-09,0,7,0%,4.4
2026-03-10,1,10,10%,6.8
2026-03-11,0,29,0%,20.8
2026-03-12,0,17,0%,12.2
2026-03-13,0,20,0%,14.8
2026-03-14,0,24,0%,6.4
2026-03-15,0,15,0%,25.9
2026-03-16,1,21,4.76%,10.1
2026-03-17,0,28,0%,14.5
2026-03-18,0,24,0%,17.2
2026-03-19,0,17,0%,24.8
2026-03-20,0,24,0%,13.9
2026-03-21,0,13,0%,17.5
2026-03-22,0,9,0%,28.3
2026-03-23,0,9,0%,17.3
2026-03-24,0,7,0%,17.1
2026-03-25,0,17,0%,21.6
2026-03-26,0,12,0%,14.1
2026-03-27,0,3,0%,34.3
2026-03-28,0,11,0%,18.2
2026-03-29,0,13,0%,14.3
2026-03-30,0,13,0%,35.5
2026-03-31,1,26,3.85%,22.5
2026-04-01,0,12,0%,13.2
2026-04-02,0,20,0%,9.3
2026-04-03,0,6,0%,13.2
2026-04-04,0,13,0%,13.4
2026-04-05,0,12,0%,23.5
2026-04-06,0,21,0%,15.5
2026-04-07,0,13,0%,7.2
2026-04-08,0,14,0%,6.6
2026-04-09,0,16,0%,6.9
2026-04-10,0,9,0%,7.4
2026-04-11,0,23,0%,16.8
2026-04-12,0,8,0%,5.1
2026-04-13,0,22,0%,9.5
2026-04-14,1,18,5.56%,7.5
2026-04-15,0,12,0%,7
2026-04-16,0,20,0%,8.5
2026-04-17,0,12,0%,7.1
2026-04-18,0,8,0%,8.9
2026-04-19,0,9,0%,7.4
2026-04-20,0,16,0%,9.4
2026-04-21,0,17,0%,8.2
2026-04-22,0,18,0%,7.9
2026-04-23,0,19,0%,7.1
2026-04-24,0,19,0%,12.7
2026-04-25,0,21,0%,6.2
2026-04-26,0,11,0%,6.9
2026-04-27,0,18,0%,6.8
2026-04-28,0,13,0%,8
2026-04-29,0,12,0%,6.2
2026-04-30,0,6,0%,8.3
2026-05-01,0,15,0%,5.6
2026-05-02,0,6,0%,7.5
2026-05-03,0,10,0%,11.4
2026-05-04,0,13,0%,7.7
2026-05-05,0,7,0%,8.9
2026-05-06,0,6,0%,15.3
2026-05-07,0,7,0%,7.1
2026-05-08,1,9,11.11%,8.8
2026-05-09,0,8,0%,15.4
2026-05-10,0,2,0%,10
2026-05-11,0,5,0%,8.6
2026-05-12,0,3,0%,5
2026-05-13,0,3,0%,22.3
2026-05-14,0,5,0%,10.8
2026-05-15,0,15,0%,19.9
2026-05-16,0,18,0%,20.6
2026-05-17,0,26,0%,37.2
2026-05-18,0,19,0%,36.3
2026-05-19,0,71,0%,36.2
2026-05-20,0,85,0%,47
2026-05-21,0,99,0%,57.3
2026-05-22,1,58,1.72%,40.8
2026-05-23,0,57,0%,50.8
2026-05-24,0,82,0%,65.3
2026-05-25,0,57,0%,64.4
2026-05-26,0,26,0%,47.3
2026-05-27,0,38,0%,24.9
2026-05-28,0,21,0%,20.9
2026-05-29,1,124,0.81%,11.2
2026-05-30,0,161,0%,8.9
2026-05-31,0,157,0%,10.3
2026-06-01,0,118,0%,10.8
2026-06-02,0,35,0%,11.5
2026-06-03,1,38,2.63%,27.1
2026-06-04,0,32,0%,22.3
2026-06-05,0,35,0%,15.1
2026-06-06,1,28,3.57%,14.1
2026-06-07,1,44,2.27%,11.4
2026-06-08,0,34,0%,14.3
2026-06-09,0,59,0%,11.9
2026-06-10,1,61,1.64%,19.5
2026-06-11,1,55,1.82%,15
2026-06-12,0,29,0%,16.3
2026-06-13,0,25,0%,31.2
2026-06-14,0,42,0%,23.9
